Start (s),End (s),Scientific.name,Common.name,Confidence,File
408.0,411.0,Certhia brachydactyla,Short-toed Treecreeper,0.9612,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
417.0,420.0,Certhia brachydactyla,Short-toed Treecreeper,0.9029,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
429.0,432.0,Turdus merula,Eurasian Blackbird,0.6798,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
435.0,438.0,Turdus merula,Eurasian Blackbird,0.5012,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
438.0,441.0,Certhia brachydactyla,Short-toed Treecreeper,0.8842,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
447.0,450.0,Certhia brachydactyla,Short-toed Treecreeper,0.6602,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
468.0,471.0,Certhia brachydactyla,Short-toed Treecreeper,0.5368,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
468.0,471.0,Turdus merula,Eurasian Blackbird,0.5035,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
474.0,477.0,Turdus merula,Eurasian Blackbird,0.6407,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
480.0,483.0,Turdus merula,Eurasian Blackbird,0.5845,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
495.0,498.0,Certhia brachydactyla,Short-toed Treecreeper,0.7853,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
504.0,507.0,Certhia brachydactyla,Short-toed Treecreeper,0.7368,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
513.0,516.0,Turdus merula,Eurasian Blackbird,0.7903,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
519.0,522.0,Certhia brachydactyla,Short-toed Treecreeper,0.6910,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
549.0,552.0,Turdus merula,Eurasian Blackbird,0.5139,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
555.0,558.0,Turdus merula,Eurasian Blackbird,0.7687,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
591.0,594.0,Turdus merula,Eurasian Blackbird,0.7427,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
597.0,600.0,Turdus merula,Eurasian Blackbird,0.6407,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_170000.WAV
249.0,252.0,Phylloscopus collybita,Common Chiffchaff,0.5419,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_180000.WAV
435.0,438.0,Phylloscopus collybita,Common Chiffchaff,0.5215,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_180000.WAV
9.0,12.0,Certhia brachydactyla,Short-toed Treecreeper,0.6802,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_190000.WAV
21.0,24.0,Certhia brachydactyla,Short-toed Treecreeper,0.9923,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_190000.WAV
30.0,33.0,Sylvia atricapilla,Eurasian Blackcap,0.5847,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_190000.WAV
48.0,51.0,Certhia brachydactyla,Short-toed Treecreeper,0.6295,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_190000.WAV
60.0,63.0,Certhia brachydactyla,Short-toed Treecreeper,0.6163,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_190000.WAV
252.0,255.0,Sylvia atricapilla,Eurasian Blackcap,0.7013,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_190000.WAV
114.0,117.0,Certhia brachydactyla,Short-toed Treecreeper,0.9821,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
135.0,138.0,Certhia brachydactyla,Short-toed Treecreeper,0.8895,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
147.0,150.0,Certhia brachydactyla,Short-toed Treecreeper,0.9695,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
171.0,174.0,Certhia brachydactyla,Short-toed Treecreeper,0.9295,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
189.0,192.0,Certhia brachydactyla,Short-toed Treecreeper,0.9843,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
192.0,195.0,Certhia brachydactyla,Short-toed Treecreeper,0.9117,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
237.0,240.0,Certhia brachydactyla,Short-toed Treecreeper,0.9750,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
249.0,252.0,Certhia brachydactyla,Short-toed Treecreeper,0.9653,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
264.0,267.0,Certhia brachydactyla,Short-toed Treecreeper,0.9458,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
279.0,282.0,Certhia brachydactyla,Short-toed Treecreeper,0.8031,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
282.0,285.0,Certhia brachydactyla,Short-toed Treecreeper,0.9117,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
297.0,300.0,Certhia brachydactyla,Short-toed Treecreeper,0.9519,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
306.0,309.0,Certhia brachydactyla,Short-toed Treecreeper,0.6400,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
309.0,312.0,Certhia brachydactyla,Short-toed Treecreeper,0.9372,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
318.0,321.0,Certhia brachydactyla,Short-toed Treecreeper,0.7792,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
468.0,471.0,Picus viridis,Eurasian Green Woodpecker,0.9117,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
471.0,474.0,Picus viridis,Eurasian Green Woodpecker,0.9066,C:/Users/malte/OneDrive/Uni/Studium/Master Bonn/4 SoSe24/Soundscape Ecology/field report/bird net analyzer/site8_A030/A030\20250425_200000.WAV
